,Properties,frequency
1893,Shear Localization,16
3906,Hall Mobility,16
3108,Elastic anisotropy,16
3689,Electrocatalytic performance,16
3099,Homogeneous,16
63,Thermoelectric figure of merit,16
6303,Volumetric expansion,16
1653,Elongation Rate,16
3118,C14 Laves phase,16
3961,Antiviral,16
1080,Cohesive Energies,16
1242,Thermal expansion,16
1877,Bulk Moduli,16
1314,Energy Absorption Capacity,16
2695,Hole Concentration,16
1293,Magnetic transition,15
1657,Dispersion Strengthening,15
239,Magnetocaloric Performance,15
4136,Cauchy pressure,15
1659,Pseudoelasticity,15
334,Percent elongation,15
7589,Hall Carrier Mobility,15
106,Crystallization Kinetics,15
1748,Relative density,15
5823,Specific Peak Current Density,15
979,Oxidation resistances,15
3886,Uniform Distribution,15
3798,High Ductility,15
1280,Coarsening,15
925,Distortion,15
972,Band gap,15
3631,Defect Density,15
2667,USFE,15
1327,Catalytic Properties,15
1311,Internal Friction,15
1667,Cytocompatibility,15
5076,Atomic Disorder,15
5032,Tensile Property,15
5755,Gr neisen Coefficient,15
7590,Thermal Diffusion Coefficient,15
8124,Lubrication,15
2638,Morphologies,15
3595,Electrochemical Durability,15
2060,AFA,15
6200,Optical Band Gap,15
1693,Structural Properties,15
1398,Antiferromagnetic Interaction,15
181,Hydrogen absorption capacity,15
5813,MOR Onset Potential,15
1713,Compressive,15
2979,Solidus,15
4504,Energy Release Efficiency,15
3256,Amorphicity,15
1450,Annealing Twins,15
3085,Curie Point,15
3217,Good Ductility,15
480,Dislocation Plasticity,15
446,Creep Properties,15
3322,C14 Laves Phase,15
5382,Moduli,15
1845,Bioactivity,15
436,Entropy Changes,15
1769,Volume fraction,15
2451,Polarization Resistance,15
432,Second Phase Strengthening,15
1975,Structural stability,15
2228,Age Hardening,15
1921,High-temperature properties,15
1982,Debye temperature,15
774,Desorption,15
3005,Interdiffusion,15
4265,Phase separation,15
812,Hall-Petch Coefficient,15
817,Serrations,15
8264,Metallurgical Bonding,14
709,Thermal emittance,14
4686,Work-hardening Capability,14
2106,Wear behaviors,14
2392,Electrochemical behavior,14
3937,Diffusion Rate,14
542,Nanocrystalline,14
2745,Laves Phase Strengthening,14
1194,Nanostructure,14
6758,Pitting corrosion potential,14
1091,Surface Hardness,14
8262,Ultimate Tensile Elongation,14
3693,Dielectric Loss,14
2273,Ultimate Strain,14
710,Solar absorptance,14
3218,High Hardness,14
3219,Superior Wear Resistance,14
2886,Internal Strain,14
1224,TRIP Effect,14
60,Phonon conductivity,14
1014,Grain Structure,14
5891,Erosion Performance,14
1654,Thermal Softening Resistance,14
2710,Hall mobility,14
4507,Equiaxed Grains,14
562,Young modulus,14
854,He Bubble Growth,14
1515,Configurational entropy,14
381,Magnetic entropy changes,14
7113,Elemental Distribution Uniformity,14
3715,Compression Tests,14
3427,High Temperature Softening Resistance,14
492,Resistance to Shear Localization,14
3355,Indentation Moduli,14
488,Dislocation-core Diffusion,14
1761,Cyclic Hardening,14
2525,Mass Density,14
2493,Tensile Plasticity,14
1384,Saturation Magnetic Flux Density,14
347,Serration,14
2975,Solidus temperature,14
207,Diffusion Resistance,14
4244,Failure Strain,14
980,Activation Properties,14
1806,Steady-State Flow,14
3449,Anisotropic,14
1026,Dielectric Properties,14
4001,fcc phase,14
4820,Single phase,14
3046,Coefficient of Plasticity,14
507,fcc structure,14
4364,Friction Properties,14
508,Stacking-Fault Energy,14
1936,Electron Mean Free Path,14
1103,Ideal Shear Strength,14
3993,Complex Permittivity,14
2930,High temperature stability,14
707,Optical properties,13
2357,Martensitic transition temperature,13
5922,Oxygen adsorption energy,13
225,Shear stress,13
6381, Smix,13
5923,Wall Thickness,13
4923,Magnetostructural Transformation,13
1514,Precipitation strengthening,13
5926,Cycling Longevity,13
5925,ORR Catalytic Activity,13
922,Particle size,13
3962,Low ion solubilization,13
5931,Hydrogen evolution kinetics,13
5934,EOR,13
1411,Reflectance,13
6101,Soft Magnetic Nature,13
5834,Surface Coverage,13
5835,Effective Surface Area,13
5836,Median Pore Size,13
1431,Anti-wear Properties,13
1570,Dendritic,13
4811,Polycrystalline elastic modulus,13
2634,Intermetallic Compounds,13
7935,Low CTE,13
4035,Temperature Interval,13
2489,Work hardening,13
880,Dislocation-energy factor,13
881,Dislocation width,13
1454,Bond Strength,13
3963,Environmental suitability,13
1549,Formation Enthalpy,13
2693,Seebeck Coefficients,13
2274,Room temperature crystal structure,13
2275,High temperature crystal structure,13
2367,Storage Capacity,13
3796,Indentation Fracture Toughness,13
4927,Protective Properties,13
5921,Catalytic features,13
1232,Intermetallic Phases,13
3590,Electrochemical Activity,13
1065,Work-hardening Ability,13
38,Strengths,13
3283,Soft Magnetism,13
7761,Compatibility Factor,13
67,Electronic thermal conductivity,13
2918,Anti-Corrosion Performance,13
5327,Magnetocrystalline anisotropy,13
5088,Work-softening,13
3469,Volume Fractions,13
3457,Magnetic Moments,13
3453, -parameter,13
581,Low Stacking Fault Energy,13
6679,Shape anisotropy,13
123,Compression performance,13
6675,Magnetostriction coefficient,13
586,Impact Resistance,13
5566,Dehydrogenation,13
2988,Sound velocity,13
32,Elastic Strain Energy,13
957,Deformation Resistance,13
1037,Twinning Tendency,13
1841,Vacancy Formation,13
3684,H Pick-up,13
1679,Twinning Formation,13
2248,Localized Corrosion Resistance,12
1631,True stress,12
3069,Tritium Storage,12
7320,Elastic Strain Limit,12
3299,Effective Refrigerant Capacities,12
2239,Coulombic Efficiency,12
7477,Carrier density,12
217,Radiation Damage,12
6781,Crack-free Fabrication,12
7478,Temperature coefficient of resistivity,12
1728,Volume change,12
7936,Drop Reliability,12
6782,Enhanced Printability,12
2436,Short-Range Order,12
5075,Crystallographic,12
4219,Gibbs free energy,12
619,Erosion,12
3420,Core-shell,12
7114,Current Spikes,12
607,Linear Thermal Expansivity,12
5116,Tx1,12
285,Mechanical Twinning,12
359,Fracture Characteristics,12
5720,Cold Rolling,12
7015,Radiation damage,12
3031,Young's Moduli,12
2203,Bubble Formation,12
5119,Trg,12
5118, Tx,12
1960,Cooling Rate,12
6678,Stress anisotropy,12
2000,Grain Coarsening,12
1111,Soft-magnetic Properties,12
5117,TL,12
7587,Phase Transformation Entropy,12
598,Microsegregation,12
3724,Thermopower,12
3321,Cohesive Strength,12
2180,IM phases,12
2084,Coefficient of Performance,12
2337,Twin Fault Probability,12
6905,FCC structure,12
7089,Hydrogen permeability,12
1696,Mass Loss,12
4991,Magnetic-field-induced Strain,12
775,Internal Energy,12
2719,Size,12
2557,Micro Vickers hardness,12
8176,Surviving Defects,12
3654,Phonon Scattering,12
1524,Tensile Stress,12
247,High-Temperature Performance,12
1691,Bonding,12
2319,Emissivity,12
5687,Phase Changes,12
6112,High Thermal Conductivity,12
2739,Bulk Density,12
6408,Thermal diffusion coefficient,12
6119,bcc phase,12
1492,Refractive Index,12
3859,AC coercivity,12
1400,Anti-Corrosion Properties,12
5422,Molar Volume,12
8010,Zener Ratio,12
2321,Austenite,12
4983,Corrosive Wear Resistance,12
2127,Cocktail effect,12
6978,Destabilizing behavior,12
3760,Semiconductor,12
2413,Phase Compositions,12
2565,Energy Dissipation,12
1201,Sphericity,12
1077,Crystallization Onset Temperature,12
7479,Spin glass behavior,12
3216,High Yield Strength,12
6547,Heat treatment,12
1070,Charge-transfer resistance,12
2691,Conversion Efficiency,12
1995,Volume loss,12
1478,Boundary Strengthening,12
2050,Young Modulus,12
1750,Structural Transition,12
4294,Tribocorrosion,12
3372,Critical current density,11
1984,Deformation Ability,11
8397,Chemical bonding states,11
3003,Elemental distribution,11
4261,Passive current density,11
5841,Electrocatalytic,11
1560,Element Segregation,11
3012,CMAS Resistance,11
5929,Mass transfer rate,11
7401,Bio-corrosion Resistance,11
3229,Cracking Susceptibility,11
4606,Specific capacitance,11
5935,Porous,11
5936,Hollow,11
1854,Size Distribution,11
5940,H Species Adsorption,11
1896,Compression Performance,11
2397,Grain Orientation,11
2278,Volume Expansion Coefficient,11
2277,Nonlinear Parameter,11
2365,Apparent Density,11
6081,Saturation magnetisation,11
447,Oxidation Properties,11
4424,Brittle Behavior,11
4690,Magnetostrain,11
7729,Threshold Stress Intensity Factor,11
654,Lamellar Spacing,11
3073,High Temperature Mechanical Properties,11
2343,Dissociation Pressure,11
4732,Lattice Disorder,11
1569,TWIP Effect,11
1772,Cytotoxicity,11
6848,Micro-strain,11
2986,Formation energy,11
1153,Hysteresis losses,11
7127,Epit Values,11
2670,Phase Constitution,11
6191,Sub-grains,11
4105,Average Particle Size,11
1684,Plastic deformation,11
7572,Microstructural instability,11
229,Ductile fracture,11
3683,Low Thermal Neutron Cross-section,11
7593,Defect recombination capacity,11
2181,Fine grains,11
4830,Compressive Ultimate Strength,11
3555,Saturation,11
1701,Corrosion Rates,11
8263,Transformation Strengthening,11
2863,Adhesive Wear,11
2934,Ordering,11
3471,Plastic Strain to Failure,11
1181,Mechanical Hardness,11
6302,Onset temperature,11
940,Melting temperature,11
8336,Interface Hardening,11
3994,Complex Permeability,11
1639,Nucleation,11
7842,Magnetoelastic,11
718,Surface Activity,11
2112,Multi-phase,11
5038,Dual Magnetic Phase,11
2692,Output Power Density,11
1369,KIC,11
4134,Metallic Character,11
4192,Magnetic Saturation,11
7845,Volume Wear Rate,11
5827,Metal-H Bond Strength,11
5667,TRIP effect,11
2095,Compressive Stress-Strain Curves,11
5826,HER SA,11
5135,Anti-corrosion Performance,11
5825,Hydrogen Adsorption Impedance,11
1745,Solar Absorptance,11
6169,Helmholtz Free Energy,11
4164,Electromagnetic parameters,11
4937,Twin Strength,11
1317,Dual-phase Structure,11
4781,Spallation Resistance,11
4146,Yield Stress Anomaly,11
4786,Saturation Magnetisation,11
5037,Paramagnetic Nature,11
3820,Nano-twins,11
4137,Pugh s ratio,11
4135,Dynamically stable,11
1740,Microstructure Refinement,11
3615,Hydrogen desorption,11
1898,TC,10
2318,RC,10
5013,Magnetic Ordering,10
5159,Performance-Cost Ratio,10
1885,Paramagnetic Behavior,10
540,Corrosion rates,10
627,Compression Strain,10
4999,Two-phase Structure,10
1521,Martensitic,10
7890,good fluidity,10
2078,Sommerfeld Coefficient,10
2356,Exchange bias,10
7889,Higher sphericity,10
1815,Homogeneous Composition,10
5721,Solute Drag,10
4586,Cycle stability,10
1829,Electrochemical,10
5896,Strain-hardening Rate,10
5338,Cyclic stability,10
1707,Average Grain Size,10
2234,Anti-poisoning Ability,10
5537,Coercive field,10
680,Electrical resistance,10
5603,Oxide Film,10
2192,Laves,10
2197,Grain size distribution,10
754,Amorphous Nature,10
1762,Cyclic Softening,10
1602,Anharmonicity,10
5120,Amorphous structure,10
759,Dilution,10
1744,Optical,10
5173,Coefficient Friction,10
7651,Strain-hardening Behavior,10
5172,Intergranular Corrosion,10
5570,C14 Laves,10
4831,Compressive property,10
1924,Particle Size Distribution,10
2296,Rate Capability,10
5108,Short-range Order,10
4656,Cell Voltage,10
437,Grain Growth Kinetics,10
565,Relaxation,10
7891,higher purity,10
2033,Faradaic Efficiency,10
1714,Tensile ductility,10
1716,Superconducting Transition Temperature,10
2271,Refrigeration Performance,10
7892,lower oxygen content,10
7488,Ultimate tensile stress,10
7820,Irradiation-tolerance,10
5623,ZT Value,10
7819,Thermomechanical,10
2151,Defect recombination,10
2152,Defect migration,10
4938,Heats of Mixing,10
6866,Dielectric,10
6349,Dynamic Compressive Strength,10
2974,Liquidus temperature,10
4129,Spontaneous Strain,10
3546,Wear property,10
4159,Hydrogen Desorption Capacity,10
3542,Magnetic entropy,10
3527,Nanograins,10
2573,H3/E2 Ratio,10
3524,Twin Density,10
1196,Theoretical Density,10
7060,Loss Tangent,10
4190,Passivation behavior,10
338,Dislocation Activity,10
2538,Crystalline,10
6111,High Thermal Stability,10
7150,Hydride Formation Enthalpy,10
6100,Magnetic Phase Transition Temperatures,10
349,Peak Stress,10
133,Critical Stress,10
6580,Self-healing,10
6581,Other,10
2520,Dynamic Yield Strength,10
2507,Tempering Stability,10
2887,Electronic conductivity,10
3597,Magnetic behavior,10
2606,Twin Boundaries,10
294,Strain-Hardening Ability,10
2694,Hall Coefficients,10
235,Dual Phase,10
1318,Storage Modulus,10
8105,Mean grain size,10
3851,Comprehensive Properties,10
3829,Stacking Fault,10
1332,Thermal Resistance,10
5927,E1/2,10
3990,Electrochemical stability,10
4015,Catalytic activities,10
4101,Friction coefficients,10
1267,Hot Workability,10
2635,Properties,10
6422,Magnetic Field,10
3711,Hydrogen storage performance,10
6213,Oxygen Reduction,10
7264,Yield Compressive Strength,10
2832,Ideal Tensile Strength,10
865,Dislocation Glide,10
3665,Damage Accumulation,10
6026,CO2 Adsorption,10
3885,Nanosheet,10
1102,Elastic Stability,10
988,Orientation,10
401,Gr neisen Parameter,10
1462,Percent Elongation,10
3264,Fragility,10
4536,Mechanical strength,10
4538,Adhesion strength,10
2372,Work-Hardening,10
3033,Cyclability,10
3137,Lattice constants,10
2395,LBE Corrosion Resistance,10
1050,Corrosion potentials,10
1456,He Concentration,10
1063,Kinetic properties,10
984,Volume,10
3209,Fire Resistance,10
3181,Dynamically Stable,10
5930,Electron transfer process,10
3115,Active sites,10
1058,Anti-wear,10
1041,Engineering Stress,10
1051,Corrosion Resistances,10
2835,Carrier Density,9
2065,Melting Entropy,9
1244,Bulk density,9
6457,Radiation Hardening,9
697,Lattice Expansion,9
1872,Stacking Fault Energies,9
5452,Magnetic Disorder,9
199,Mechanical performance,9
1028,Efficiency,9
203,Cryogenic Mechanical Properties,9
1049,Corrosion current densities,9
8364,Second-phase strengthening,9
3764,Magnetic Transition Temperatures,9
3786,Electromagnetic Parameters,9
3867,Strain-hardening rate,9
3152,Upper critical field,9
4904,Infrared Emissivity,9
230,Cleavage fracture,9
6339,   phase,9
1844,Defect Properties,9
3141,Boundaries,9
1275,Deuterium Retention,9
1046,Latent Heat,9
3812,Resistance to Thermal Softening,9
1265,Adhesion Force,9
4931,Dislocation Movement,9
1692,Magnetization Change,9
3803,Hydrogen Diffusion,9
5458,Elemental Distributions,9
1804,Malleable,9
8301,Super-paramagnetism,9
3602,Electric Resistivity,9
1057,Critical Load,9
3348,Fine-Grain Strengthening,9
5619,Output Work,9
6568,High Reversible Capacity,9
7048,Durable,9
5198,Strain-hardening Capability,9
3028,Dislocation Motion,9
7032,Crystallization Resistance,9
2953,Void Growth,9
1136,Hydrogen desorption temperature,9
7020,Figure of merit,9
1158,Maximum permeability,9
5589,Phase Transition Temperatures,9
2985,Grain Growth Resistance,9
111,Hydrogen Uptake,9
1155,Mechanical property,9
99,Thermal Analysis,9
8362,Diphase structure,9
3039,Absorptance,9
1949,Transformation Entropy Change,9
3513,Ferromagnetic behavior,9
6822,Local Structure,9
2871,Macro-hardness,9
5016,Magnetic Ordering Temperature,9
8363,Fine crystal strengthening,9
2051,Galvanic Corrosion,9
3549,Radiation stability,9
5668,Hydrogen Resistance,9
3548,  parameter,9
5364,Hydride Equilibrium Pressure,9
5638,Static Magnetic Properties,9
8326,Transition Enthalpy,9
3289,Dislocation density,9
7822,Atomic level stresses,9
1093,Strain Hardening Capability,9
1923,Softening resistance,9
7679,Self-lubricating,9
2907,Residual Compressive Stress,9
2915,High entropy effect,9
361,Dynamic Strain Aging,9
2496,Strength-Ductility Combination,9
7290,Protective Ability,9
2418,Passivation current density,9
2212,Diffusion Barrier,9
337,Strain rate sensitivity,9
4498,Brittle/Ductile Transitions,9
2209,Compression Fracture Strength,9
7510,Critical Twinning Stress,9
1378,Microstructural analysis,9
6097,Cooling,9
4501,Interface Strengthening,9
1370,Bending strength,9
1473,Wear performances,9
4123,Half-wave Potential,9
4112,Solid solution tendency,9
1534,Dispersion,9
4246,Compressive Flow Strength,9
4266,Interfacial Bonding Strength,9
5895,Solid-solution Strength,9
460,Strengthening Mechanism,9
5975,Micro-Vickers Hardness,9
4391,Microstructural Features,9
1552,Solid Solutions,9
4435,Cyclic Deformation Behavior,9
2460,Compression Ductility,9
834,Internal Oxidation,9
2431,Chemical Short-Range Order,9
7322,Chemical States,9
1436,Dielectric Constant,9
4447,Elastic Strain,9
4309,Fracture Properties,9
4744,Disordered Lattice,9
2522,Grain Morphology,9
5877,Loading Force,9
7524,Spontaneous Magnetization,9
6173,Vacancy Clustering,9
7525,Microdeformations,9
1497,Optical Transmittance,9
2170,Creep behavior,9
2169,Room-temperature mechanical properties,9
1632,True strain,9
2366,Micro-Vickers hardness,9
5932,Continuous HER activity,9
7210,Electro-negativity Difference,9
523,Twinnability,9
4080,Creep Strain,9
2338,Misorientation,9
2663,Ordering Transition Temperature,9
2672,Oxidation Onset Temperature,9
533,Microcracks,9
3938,Dynamic Yield Stress,9
1499,Tensile Test,9
2629,Free Volume,9
5906,Defect Clusters,9
4396,Adiabatic Temperature Variation,9
7372,Hardenability,9
2612,Polarization,9
2399,Element Distribution,9
744, ( Hmix),9
505,Dynamic Shear Yield Strength,9
742,Medium-entropy,9
2187,Grain structure refinement,9
5249,Spin Freezing Temperature,8
5425,Flow Property,8
3146,CuAl2O4,8
3339,Resistance to Diffusion,8
1958,bcc Stabilizer,8
